County,Violent Crimes,Highway,Shoplifting,Hands  Fists  Feet,Strong-Arm,$50 through $199,Bank,Over $400,Other,Day,Coin Operated Machine,Gas Station,Night,Under $50,Property Crimes,$200 through $400,No Force,Structural Property,Forcible Entry,Arson,Firearm,Homicide,Robbery,Rape,From Motor Vehicle,Other Weapon,Pocket-Picking,Larceny-Theft,Miscellaneous,Mobile Property,Rape (Forcible Rape prior to 2014),Motor Vehicle Accessories,Other Property,Purse-Snatching,Burglary,Knife or Cutting Instrument,Commercial,Trucks and Buses,Convenience Store,Over $200,Unknown,Residence,From Building,Motor Vehicle Theft,Non-Residence,Aggravated Assault,Bicycles,Attempted Rape,Automotive
Alameda,"9,923","2,501","3,650",698,"2,396","6,017",38.0,"20,405","9,886",845,39.0,109.0,"1,275","13,036","63,861","4,882","1,980",207.0,"4,935",439,853,90.0,"4,817",768,"21,861","2,193",852.0,"44,340","1,158",162.0,810,"3,698",70,396.0,"6,915",462,453,992,261.0,0.0,949,"3,846","1,926","12,606","3,069","4,206","2,032",42.0,"11,174"
Alpine,13,0,0,8,0,1,0.0,11,9,0,0.0,0.0,1,5,32,5,3,0.0,5,0,1,0.0,0,0,9,3,0.0,22,0,0.0,0,2,0,0.0,8,1,0,0,0.0,0.0,4,3,2,2,5,13,0,0.0,1
Amador,115,1,31,74,6,77,0.0,144,196,42,2.0,0.0,23,146,649,69,76,2.0,71,5,1,0.0,7,9,78,15,0.0,436,2,0.0,9,23,3,3.0,147,9,1,10,0.0,0.0,17,65,99,66,82,99,4,0.0,41
Butte,921,40,658,341,75,"1,108",4.0,"1,503","1,520",265,7.0,5.0,174,"1,335","7,280",794,691,145.0,908,174,52,7.0,143,154,"1,333",137,5.0,"4,740",41,4.0,182,274,25,14.0,"1,599",59,19,151,2.0,0.0,112,"1,048",440,941,551,589,489,28.0,703
Calaveras,208,6,35,74,9,64,0.0,148,211,39,1.0,0.0,41,185,790,66,88,0.0,140,0,20,2.0,17,28,85,47,1.0,463,1,0.0,30,58,0,7.0,228,18,1,35,0.0,0.0,30,118,57,99,110,159,8,2.0,42
Colusa,78,3,4,46,7,28,0.0,88,79,30,1.0,2.0,28,38,339,25,38,2.0,83,4,2,1.0,9,12,71,5,0.0,179,1,0.0,13,8,2,2.0,121,2,0,4,0.0,0.0,10,53,12,39,68,55,2,1.0,20
Contra Costa,"3,830",347,"3,593",589,747,"3,759",31.0,"8,111","3,774",510,26.0,44.0,910,"5,222","29,735","2,636","1,243",76.0,"2,928",232,409,42.0,"1,500",274,"8,759",760,126.0,"19,728",582,96.0,294,"1,194",60,105.0,"4,171",236,267,745,111.0,0.0,467,"2,284","1,553","5,836","1,887","1,994",598,20.0,"4,829"
Del Norte,151,5,62,75,17,63,0.0,88,193,145,4.0,0.0,47,173,692,51,10,5.0,211,19,2,4.0,23,29,53,17,0.0,375,14,8.0,29,15,6,3.0,221,1,2,30,0.0,0.0,1,28,30,96,193,95,15,0.0,44
El Dorado,294,1,233,74,24,331,2.0,802,790,32,4.0,1.0,193,566,"2,934",286,267,0.0,444,5,11,5.0,36,52,561,88,9.0,"1,985",14,0.0,55,124,5,15.0,711,25,4,36,9.0,0.0,86,400,177,238,311,198,72,3.0,156
Fresno,"5,745",563,"2,646","1,234",607,"4,298",8.0,"6,347","4,776",794,34.0,34.0,"1,547","6,197","30,354","2,370","1,657",136.0,"5,100",524,"1,099",85.0,"1,214",319,"6,929","1,199",41.0,"19,212",161,181.0,336,"2,471",207,34.0,"6,757",578,206,677,80.0,0.0,417,"3,999","1,570","4,385","2,758","4,110",711,17.0,"3,341"
Glenn,117,1,27,83,8,59,0.0,95,180,33,0.0,0.0,33,82,503,26,19,3.0,132,5,4,1.0,8,9,30,5,0.0,262,0,0.0,9,7,2,0.0,151,7,0,18,2.0,0.0,6,79,10,90,72,99,8,0.0,44
Humboldt,646,45,547,58,65,563,2.0,783,660,174,2.0,21.0,140,753,"4,196",396,347,43.0,527,65,58,8.0,172,70,806,211,10.0,"2,495",49,6.0,74,111,16,11.0,874,65,22,128,4.0,0.0,79,481,154,827,393,392,194,4.0,641
